Source,Target,Weight,Type
AOV_13,AOV_174,2,undirected
AOV_13,AOV_9,3,undirected
AOV_13,PBH_169,1,undirected
AOV_15,PBH_158,1,undirected
AOV_15,PBH_165,3,undirected
AOV_15,PBH_170,2,undirected
AOV_15,unknown_42,1,undirected
AOV_153,AOV_160,1,undirected
AOV_153,AOV_44,2,undirected
AOV_153,AOV_6,3,undirected
AOV_160,AOV_153,1,undirected
AOV_160,AOV_174,2,undirected
AOV_160,AOV_44,3,undirected
AOV_160,AOV_86,1,undirected
AOV_160,unknown_56,3,undirected
AOV_168,AOV_174,3,undirected
AOV_168,AOV_187,1,undirected
AOV_168,AOV_44,2,undirected
AOV_174,AOV_13,2,undirected
AOV_174,AOV_160,2,undirected
AOV_174,AOV_168,3,undirected
AOV_174,AOV_178,3,undirected
AOV_174,AOV_185,1,undirected
AOV_174,AOV_53,1,undirected
AOV_174,AOV_9,1,undirected
AOV_174,PBH_134,3,undirected
AOV_174,PBH_17,2,undirected
AOV_174,unknown_10,1,undirected
AOV_178,AOV_174,3,undirected
AOV_178,PBH_22,1,undirected
AOV_178,PBH_38,2,undirected
AOV_185,AOV_174,1,undirected
AOV_185,AOV_187,6,undirected
AOV_185,AOV_23,2,undirected
AOV_185,AOV_49,1,undirected
AOV_185,AOV_86,2,undirected
AOV_185,AOV_92,4,undirected
AOV_185,HISe_99,3,undirected
AOV_185,PBH_93,2,undirected
AOV_185,unknown_10,2,undirected
AOV_187,AOV_168,1,undirected
AOV_187,AOV_185,6,undirected
AOV_187,AOV_86,1,undirected
AOV_187,PBH_17,2,undirected
AOV_19,AOV_23,2,undirected
AOV_19,AOV_39,6,undirected
AOV_19,AOV_49,1,undirected
AOV_2,AOV_44,3,undirected
AOV_2,AOV_49,2,undirected
AOV_2,AOV_70,1,undirected
AOV_20,AOV_44,3,undirected
AOV_20,AOV_86,2,undirected
AOV_20,PBH_81,1,undirected
AOV_20,PBH_93,3,undirected
AOV_23,AOV_185,2,undirected
AOV_23,AOV_19,2,undirected
AOV_23,AOV_70,3,undirected
AOV_23,AOV_86,1,undirected
AOV_23,PBH_17,3,undirected
